car_ID,symboling,CarName,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarBrand_alfa-romero,CarBrand_audi,CarBrand_bmw,CarBrand_buick,CarBrand_chevrolet,CarBrand_dodge,CarBrand_honda,CarBrand_isuzu,CarBrand_jaguar,CarBrand_mazda,CarBrand_mercury,CarBrand_mitsubishi,CarBrand_nissan,CarBrand_peugeot,CarBrand_plymouth,CarBrand_porsche,CarBrand_renault,CarBrand_saab,CarBrand_subaru,CarBrand_toyota,CarBrand_volkswagen,CarBrand_volvo,fueltype_diesel,fueltype_gas,aspiration_std,aspiration_turbo,doornumber_four,doornumber_two,carbody_convertible,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_4wd,drivewheel_fwd,drivewheel_rwd,enginelocation_front,enginelocation_rear,enginetype_dohc,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_eight,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,fuelsystem_1bbl,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi,cluster
131,0.4,renault 12tl,0.3275862068965516,0.6029850746268659,0.5166666666666666,0.6166666666666667,0.4231962761830876,0.4104046242774566,0.6571428571428573,0.850828729281768,0.1133333333333332,0.2641509433962263,0.5135135135135136,0.4,0.4411764705882353,0.1308994045753682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9
183,0.8,volkswagen rabbit,0.3689655172413792,0.4567164179104477,0.4333333333333335,0.6583333333333337,0.299844840961986,0.2080924855491329,0.3357142857142856,0.5745856353591161,0.1333333333333333,0.0251572327044025,0.3513513513513513,0.96,0.8823529411764707,0.0832654340332184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9
184,0.8,volkswagen 1131 deluxe sedan,0.3689655172413792,0.4567164179104477,0.4333333333333335,0.6583333333333337,0.2796741660201707,0.2774566473988439,0.4642857142857142,0.5745856353591161,0.1333333333333333,0.2327044025157232,0.5945945945945943,0.56,0.5294117647058824,0.0895330617361328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9
185,0.8,volkswagen model 111,0.3689655172413792,0.4567164179104477,0.4333333333333335,0.6583333333333337,0.3010085337470908,0.2080924855491329,0.3357142857142856,0.5745856353591161,0.1333333333333333,0.0251572327044025,0.3513513513513513,0.96,0.8823529411764707,0.0901598245064243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9
186,0.8,volkswagen type 3,0.3689655172413792,0.4567164179104477,0.4333333333333335,0.6583333333333337,0.2808378588052754,0.2774566473988439,0.4642857142857142,0.5745856353591161,0.1333333333333333,0.2327044025157232,0.5945945945945943,0.56,0.5294117647058824,0.0964274522093388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9
187,0.8,volkswagen 411 (sw),0.3689655172413792,0.4567164179104477,0.4333333333333335,0.6583333333333337,0.3052754072924748,0.2774566473988439,0.4642857142857142,0.5745856353591161,0.1333333333333333,0.2327044025157232,0.5945945945945943,0.56,0.5294117647058824,0.1058288937637104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9
188,0.8,volkswagen super beetle,0.3689655172413792,0.4567164179104477,0.4333333333333335,0.6583333333333337,0.3223429014740109,0.2080924855491329,0.3357142857142856,0.5745856353591161,0.1333333333333333,0.1257861635220125,0.189189189189189,0.96,0.7647058823529412,0.1371670322782827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9
189,0.8,volkswagen dasher,0.3689655172413792,0.4567164179104477,0.4333333333333335,0.6583333333333337,0.3149728471683475,0.2774566473988439,0.4642857142857142,0.5745856353591161,0.1999999999999999,0.3270440251572327,0.7297297297297294,0.52,0.4705882352941176,0.1528361015355688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9
190,1.0,vw dasher,0.272413793103448,0.2716417910447761,0.3250000000000002,0.6499999999999999,0.2971295577967416,0.2774566473988439,0.4642857142857142,0.5745856353591161,0.0999999999999999,0.2641509433962263,0.7297297297297294,0.4399999999999999,0.3823529411764705,0.2029771231588843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9
191,1.0,vw rabbit,0.272413793103448,0.3671641791044773,0.3083333333333335,0.3000000000000002,0.2843289371605896,0.2774566473988439,0.4642857142857142,0.5745856353591161,0.0999999999999999,0.2641509433962263,0.7297297297297294,0.4399999999999999,0.3823529411764705,0.1523660294578502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9
192,0.4,volkswagen rabbit,0.4758620689655175,0.5835820895522388,0.5500000000000007,0.6083333333333338,0.4550038789759503,0.4335260115606936,0.4642857142857142,0.5745856353591161,0.0999999999999999,0.389937106918239,0.7297297297297294,0.24,0.2352941176470587,0.2562519586336571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9
193,0.4,volkswagen rabbit custom,0.4758620689655175,0.5835820895522388,0.5500000000000007,0.6083333333333338,0.4231962761830876,0.2080924855491329,0.3357142857142856,0.5745856353591161,0.1333333333333333,0.1257861635220125,0.189189189189189,0.8,0.6470588235294118,0.2734879348166719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9
194,0.4,volkswagen dasher,0.4758620689655175,0.6268656716417911,0.5500000000000007,0.6083333333333338,0.4169899146625291,0.2774566473988439,0.4642857142857142,0.5745856353591161,0.1333333333333333,0.2515723270440251,0.7297297297297294,0.48,0.4411764705882353,0.224757129426512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9
